taxon,date,season,type,sample,process,sample.type,wet.mass,moisture,calc.dry.mass,temp,count
Unknown,2022-11-20,wet,soil,1,m,soil,,,,,
Hymenoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Coleoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Hemiptera,2022-11-20,wet,soil,1,m,soil,,,,,
Diptera,2022-11-20,wet,soil,1,m,soil,,,,,
Blattodea,2022-11-20,wet,soil,1,m,soil,,,,,
Thysanoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Psocoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Lepidoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Orthoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Trichoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Neuroptera,2022-11-20,wet,soil,1,m,soil,,,,,
Zoraptera,2022-11-20,wet,soil,1,m,soil,,,,,
Mecoptera,2022-11-20,wet,soil,1,m,soil,,,,,
Dermaptera,2022-11-20,wet,soil,1,m,soil,,,,,
Zygentoma,2022-11-20,wet,soil,1,m,soil,,,,,
Embioptera,2022-11-20,wet,soil,1,m,soil,,,,,
Archaeognatha,2022-11-20,wet,soil,1,m,soil,,,,,
Protura,2022-11-20,wet,soil,1,m,soil,,,,,
Diplura,2022-11-20,wet,soil,1,m,soil,,,,,
Entomobryomorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Poduromorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Symphypleona,2022-11-20,wet,soil,1,m,soil,,,,,
Oribatida,2022-11-20,wet,soil,1,m,soil,,,,,
Mesostigmata,2022-11-20,wet,soil,1,m,soil,,,,,
Trombidiformes,2022-11-20,wet,soil,1,m,soil,,,,,
other.acari,2022-11-20,wet,soil,1,m,soil,,,,,
Araneae,2022-11-20,wet,soil,1,m,soil,,,,,
Opiliones,2022-11-20,wet,soil,1,m,soil,,,,,
Scorpiones,2022-11-20,wet,soil,1,m,soil,,,,,
Pseudoscorpiones,2022-11-20,wet,soil,1,m,soil,,,,,
Ixodida,2022-11-20,wet,soil,1,m,soil,,,,,
Ricinulei,2022-11-20,wet,soil,1,m,soil,,,,,
Schizomida,2022-11-20,wet,soil,1,m,soil,,,,,
Palpigradi,2022-11-20,wet,soil,1,m,soil,,,,,
Chilopoda,2022-11-20,wet,soil,1,m,soil,,,,,
Geophilomorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Lithobiomorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Scolopendromorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Scutigeromorpha,2022-11-20,wet,soil,1,m,soil,,,,,
Diplopoda,2022-11-20,wet,soil,1,m,soil,,,,,
Polyxenida,2022-11-20,wet,soil,1,m,soil,,,,,
Chordeumatida,2022-11-20,wet,soil,1,m,soil,,,,,
Polydesmida,2022-11-20,wet,soil,1,m,soil,,,,,
Spirobolida,2022-11-20,wet,soil,1,m,soil,,,,,
Spirostreptida,2022-11-20,wet,soil,1,m,soil,,,,,
other.diplopoda,2022-11-20,wet,soil,1,m,soil,,,,,
Symphyla,2022-11-20,wet,soil,1,m,soil,,,,,
Tetramerocerata,2022-11-20,wet,soil,1,m,soil,,,,,
Isopoda,2022-11-20,wet,soil,1,m,soil,,,,,
Amphipoda,2022-11-20,wet,soil,1,m,soil,,,,,
Annelida,2022-11-20,wet,soil,1,m,soil,,,,,
Gastropoda,2022-11-20,wet,soil,1,m,soil,,,,,
Euonychophora,2022-11-20,wet,soil,1,m,soil,,,,,
Unknown,2022-11-20,wet,soil,1,t,soil,,,,,0
Hymenoptera,2022-11-20,wet,soil,1,t,soil,,,,,9
Coleoptera,2022-11-20,wet,soil,1,t,soil,,,,,3
Hemiptera,2022-11-20,wet,soil,1,t,soil,,,,,6
Diptera,2022-11-20,wet,soil,1,t,soil,,,,,10
Blattodea,2022-11-20,wet,soil,1,t,soil,,,,,0
Thysanoptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Psocoptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Lepidoptera,2022-11-20,wet,soil,1,t,soil,,,,,9
Orthoptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Trichoptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Neuroptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Zoraptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Mecoptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Dermaptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Zygentoma,2022-11-20,wet,soil,1,t,soil,,,,,0
Embioptera,2022-11-20,wet,soil,1,t,soil,,,,,0
Archaeognatha,2022-11-20,wet,soil,1,t,soil,,,,,0
Protura,2022-11-20,wet,soil,1,t,soil,,,,,3
Diplura,2022-11-20,wet,soil,1,t,soil,,,,,0
Entomobryomorpha,2022-11-20,wet,soil,1,t,soil,,,,,35
Poduromorpha,2022-11-20,wet,soil,1,t,soil,,,,,5
Symphypleona,2022-11-20,wet,soil,1,t,soil,,,,,7
Oribatida,2022-11-20,wet,soil,1,t,soil,,,,,64
Mesostigmata,2022-11-20,wet,soil,1,t,soil,,,,,0
Trombidiformes,2022-11-20,wet,soil,1,t,soil,,,,,0
other.acari,2022-11-20,wet,soil,1,t,soil,,,,,42
Araneae,2022-11-20,wet,soil,1,t,soil,,,,,0
Opiliones,2022-11-20,wet,soil,1,t,soil,,,,,0
Scorpiones,2022-11-20,wet,soil,1,t,soil,,,,,0
Pseudoscorpiones,2022-11-20,wet,soil,1,t,soil,,,,,3
Ixodida,2022-11-20,wet,soil,1,t,soil,,,,,0
Ricinulei,2022-11-20,wet,soil,1,t,soil,,,,,0
Schizomida,2022-11-20,wet,soil,1,t,soil,,,,,2
Palpigradi,2022-11-20,wet,soil,1,t,soil,,,,,0
Chilopoda,2022-11-20,wet,soil,1,t,soil,,,,,1
Geophilomorpha,2022-11-20,wet,soil,1,t,soil,,,,,0
Lithobiomorpha,2022-11-20,wet,soil,1,t,soil,,,,,0
Scolopendromorpha,2022-11-20,wet,soil,1,t,soil,,,,,0
Scutigeromorpha,2022-11-20,wet,soil,1,t,soil,,,,,0
Diplopoda,2022-11-20,wet,soil,1,t,soil,,,,,24
Polyxenida,2022-11-20,wet,soil,1,t,soil,,,,,0
Chordeumatida,2022-11-20,wet,soil,1,t,soil,,,,,0
Polydesmida,2022-11-20,wet,soil,1,t,soil,,,,,0
Spirobolida,2022-11-20,wet,soil,1,t,soil,,,,,0
Spirostreptida,2022-11-20,wet,soil,1,t,soil,,,,,0
other.diplopoda,2022-11-20,wet,soil,1,t,soil,,,,,0
Symphyla,2022-11-20,wet,soil,1,t,soil,,,,,3
Tetramerocerata,2022-11-20,wet,soil,1,t,soil,,,,,0
Isopoda,2022-11-20,wet,soil,1,t,soil,,,,,1
Amphipoda,2022-11-20,wet,soil,1,t,soil,,,,,0
Annelida,2022-11-20,wet,soil,1,t,soil,,,,,0
Gastropoda,2022-11-20,wet,soil,1,t,soil,,,,,0
Euonychophora,2022-11-20,wet,soil,1,t,soil,,,,,0
Unknown,2022-11-20,wet,soil,2,t,soil,,,,,0
Hymenoptera,2022-11-20,wet,soil,2,t,soil,,,,,3
Coleoptera,2022-11-20,wet,soil,2,t,soil,,,,,14
Hemiptera,2022-11-20,wet,soil,2,t,soil,,,,,6
Diptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Blattodea,2022-11-20,wet,soil,2,t,soil,,,,,9
Thysanoptera,2022-11-20,wet,soil,2,t,soil,,,,,1
Psocoptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Lepidoptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Orthoptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Trichoptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Neuroptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Zoraptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Mecoptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Dermaptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Zygentoma,2022-11-20,wet,soil,2,t,soil,,,,,0
Embioptera,2022-11-20,wet,soil,2,t,soil,,,,,0
Archaeognatha,2022-11-20,wet,soil,2,t,soil,,,,,0
Protura,2022-11-20,wet,soil,2,t,soil,,,,,1
Diplura,2022-11-20,wet,soil,2,t,soil,,,,,0
Entomobryomorpha,2022-11-20,wet,soil,2,t,soil,,,,,7
Poduromorpha,2022-11-20,wet,soil,2,t,soil,,,,,0
Symphypleona,2022-11-20,wet,soil,2,t,soil,,,,,5
Oribatida,2022-11-20,wet,soil,2,t,soil,,,,,35
Mesostigmata,2022-11-20,wet,soil,2,t,soil,,,,,0
Trombidiformes,2022-11-20,wet,soil,2,t,soil,,,,,0
other.acari,2022-11-20,wet,soil,2,t,soil,,,,,7
Araneae,2022-11-20,wet,soil,2,t,soil,,,,,2
Opiliones,2022-11-20,wet,soil,2,t,soil,,,,,0
Scorpiones,2022-11-20,wet,soil,2,t,soil,,,,,0
Pseudoscorpiones,2022-11-20,wet,soil,2,t,soil,,,,,0
Ixodida,2022-11-20,wet,soil,2,t,soil,,,,,0
Ricinulei,2022-11-20,wet,soil,2,t,soil,,,,,0
Schizomida,2022-11-20,wet,soil,2,t,soil,,,,,0
Palpigradi,2022-11-20,wet,soil,2,t,soil,,,,,0
Chilopoda,2022-11-20,wet,soil,2,t,soil,,,,,1
Geophilomorpha,2022-11-20,wet,soil,2,t,soil,,,,,0
Lithobiomorpha,2022-11-20,wet,soil,2,t,soil,,,,,0
Scolopendromorpha,2022-11-20,wet,soil,2,t,soil,,,,,0
Scutigeromorpha,2022-11-20,wet,soil,2,t,soil,,,,,0
Diplopoda,2022-11-20,wet,soil,2,t,soil,,,,,7
Polyxenida,2022-11-20,wet,soil,2,t,soil,,,,,0
Chordeumatida,2022-11-20,wet,soil,2,t,soil,,,,,0
Polydesmida,2022-11-20,wet,soil,2,t,soil,,,,,0
Spirobolida,2022-11-20,wet,soil,2,t,soil,,,,,0
Spirostreptida,2022-11-20,wet,soil,2,t,soil,,,,,0
other.diplopoda,2022-11-20,wet,soil,2,t,soil,,,,,0
Symphyla,2022-11-20,wet,soil,2,t,soil,,,,,2
Tetramerocerata,2022-11-20,wet,soil,2,t,soil,,,,,1
Isopoda,2022-11-20,wet,soil,2,t,soil,,,,,0
Amphipoda,2022-11-20,wet,soil,2,t,soil,,,,,0
Annelida,2022-11-20,wet,soil,2,t,soil,,,,,0
Gastropoda,2022-11-20,wet,soil,2,t,soil,,,,,0
Euonychophora,2022-11-20,wet,soil,2,t,soil,,,,,0
Unknown,2022-11-20,wet,soil,3,t,soil,,,,,0
Hymenoptera,2022-11-20,wet,soil,3,t,soil,,,,,41
Coleoptera,2022-11-20,wet,soil,3,t,soil,,,,,8
Hemiptera,2022-11-20,wet,soil,3,t,soil,,,,,11
Diptera,2022-11-20,wet,soil,3,t,soil,,,,,3
Blattodea,2022-11-20,wet,soil,3,t,soil,,,,,0
Thysanoptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Psocoptera,2022-11-20,wet,soil,3,t,soil,,,,,1
Lepidoptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Orthoptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Trichoptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Neuroptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Zoraptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Mecoptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Dermaptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Zygentoma,2022-11-20,wet,soil,3,t,soil,,,,,0
Embioptera,2022-11-20,wet,soil,3,t,soil,,,,,0
Archaeognatha,2022-11-20,wet,soil,3,t,soil,,,,,0
Protura,2022-11-20,wet,soil,3,t,soil,,,,,0
Diplura,2022-11-20,wet,soil,3,t,soil,,,,,0
Entomobryomorpha,2022-11-20,wet,soil,3,t,soil,,,,,30
Poduromorpha,2022-11-20,wet,soil,3,t,soil,,,,,0
Symphypleona,2022-11-20,wet,soil,3,t,soil,,,,,3
Oribatida,2022-11-20,wet,soil,3,t,soil,,,,,66
Mesostigmata,2022-11-20,wet,soil,3,t,soil,,,,,0
Trombidiformes,2022-11-20,wet,soil,3,t,soil,,,,,0
other.acari,2022-11-20,wet,soil,3,t,soil,,,,,12
Araneae,2022-11-20,wet,soil,3,t,soil,,,,,1
Opiliones,2022-11-20,wet,soil,3,t,soil,,,,,0
Scorpiones,2022-11-20,wet,soil,3,t,soil,,,,,0
Pseudoscorpiones,2022-11-20,wet,soil,3,t,soil,,,,,2
Ixodida,2022-11-20,wet,soil,3,t,soil,,,,,0
Ricinulei,2022-11-20,wet,soil,3,t,soil,,,,,0
Schizomida,2022-11-20,wet,soil,3,t,soil,,,,,0
Palpigradi,2022-11-20,wet,soil,3,t,soil,,,,,0
Chilopoda,2022-11-20,wet,soil,3,t,soil,,,,,0
Geophilomorpha,2022-11-20,wet,soil,3,t,soil,,,,,0
Lithobiomorpha,2022-11-20,wet,soil,3,t,soil,,,,,0
Scolopendromorpha,2022-11-20,wet,soil,3,t,soil,,,,,0
Scutigeromorpha,2022-11-20,wet,soil,3,t,soil,,,,,0
Diplopoda,2022-11-20,wet,soil,3,t,soil,,,,,8
